1_layer,2_layer,3_layer,4_layer,5_layer
14.143688561670077,14.525763082855121,16.256666257535983,16.31863227849945,15.95114260871448
13.711902383283688,16.3504677906004,13.62164347930845,15.109364677158723,15.134810908437135
12.845107844883112,13.523285066018477,14.21746744418808,14.430708308224075,15.261472439268696
16.023719658782444,15.85271575261867,14.341937965635758,13.51062444148123,14.596671396984853
13.695530855003703,14.012437698217715,15.686324862507124,16.535820972723677,14.29911088959806
14.549244797127066,13.758974410390069,14.446900886794381,15.352858664939669,16.963777638882956
15.13709488136506,13.256462941931833,14.05232079690047,14.361399345732938,15.065477051724859
13.28627116368236,13.339428161580908,14.37303189205815,14.434398367324397,14.897916407540617
15.737591390119933,15.186850585629383,15.686778939775404,14.433514834045015,14.08487608702169
13.923567649406692,15.206594076255646,14.106861694434377,14.365414530363063,15.079826648505819
14.5034342637609,17.08466522911142,16.260211836763183,15.184174302850991,15.266331322006401
14.999702009658858,15.208608639964316,16.245990091577234,13.879511633355447,15.439335183549334
16.548051014309852,15.312928178454012,14.609433688023676,16.59451965873201,15.513741117128014
14.411205153368016,13.246457053954284,14.431783063938985,14.463335968779326,16.477084295039212
15.374471638802063,15.519402120111987,13.923638267440667,14.416265326139502,14.325170125137266
12.876029203290338,15.45706573099471,14.555471662757132,15.67410649717278,14.060398139402858
14.888422721536907,15.393866080114817,13.633336526966739,16.060731010046737,15.530727329773969
15.491710580515532,16.086042509741223,15.82578887301611,15.893292352656555,14.850660605046377
13.736752892253405,14.458175136641815,15.296009371413183,16.190104469660437,15.658069874888906
15.526608139948152,16.388221799093394,15.377321587968842,14.307030565325464,14.234628774735597
15.814611056941866,15.082204443451161,16.870746141608635,15.883651917256213,15.19461116484312
13.91796468054323,14.052381722403439,15.081389175702023,16.150291435282124,13.214361965620483
13.9173926850984,14.882509997509215,13.635088390092061,14.178874959844999,14.040202293240384
15.146990616245551,13.040694448686496,15.139154105211157,15.101497392261319,14.25126058782168
15.729220906422595,17.366228468096438,17.060845110255766,13.721191426362466,16.429563716436633
13.916355519618111,16.409798443750603,14.936808734294164,16.314637797086217,14.629413866981105
15.36171436785378,15.003141937989023,14.68989354759238,14.481958714563518,15.37760839513023
15.797331329151671,15.977314081142667,14.69306820825497,16.09750503381976,12.869294857257536
13.331873261055382,15.180180011161717,15.503934067647203,14.327289930821244,17.119118143532003
15.1993282371066,15.602306549068029,15.551120667108217,15.35508016757659,15.010864192444256
